file_size,file_count,user,system,total
1k,1000,0.03,0.46,28.07
1k,10000,0.43,4.57,272.86
1k,100000,28.04,58.57,3202.21
40k,1000,0.14,0.63,32.48
40k,10000,1.42,6.08,341.55
40k,100000,32.87,68.99,4205.92
1M,1000,3.53,3.88,70.74
1M,10000,34.81,27.23,935.11
1M,100000,370.62,274.37,9841.60
8M,1000,27.09,50.34,260.83
8M,10000,274.65,485.46,3050.62
8M,100000,2762.66,4904.39,69033.09
